epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.765625,,486.22650146484375,,0.6198320388793945,,0.5832268595695496,,
0,99,,0.6875,,544.9328002929688,,0.5749578475952148,,0.5339330434799194,,
0,149,,0.734375,,514.8184814453125,,0.6186543703079224,,0.5798966884613037,,
0,199,,0.75,,620.68505859375,,0.6058789491653442,,0.5591511726379395,,
0,207,,,,,,,,,0.6929023265838623,0.594685971736908
0,207,0.6775577664375305,,590.8889770507812,,0.6446549296379089,,0.6001701951026917,,,
1,249,,0.640625,,675.8305053710938,,0.6731502413749695,,0.6222708821296692,,
1,299,,0.546875,,540.8848266601562,,0.8302894234657288,,0.7895693182945251,,
1,349,,0.65625,,510.8055419921875,,0.7109125256538391,,0.6724569201469421,,
1,399,,0.6875,,550.7457275390625,,0.6225562691688538,,0.5810938477516174,,
1,415,,,,,,,,,0.6907941102981567,0.5979491472244263
1,415,0.6816983819007874,,575.5571899414062,,0.6446834206581116,,0.6013530492782593,,,
2,449,,0.578125,,675.2516479492188,,0.7452341914176941,,0.6943984031677246,,
2,499,,0.703125,,619.13134765625,,0.6241001486778259,,0.5774893164634705,,
2,549,,0.703125,,560.284423828125,,0.5765278339385986,,0.5343472957611084,,
2,599,,0.734375,,547.9617309570312,,0.5866138935089111,,0.5453610420227051,,
2,623,,,,,,,,,0.6929023265838623,0.5963320732116699
2,623,0.6792893409729004,,586.8174438476562,,0.6418988704681396,,0.597720742225647,,,
3,649,,0.75,,541.7691650390625,,0.5332925319671631,,0.49250584840774536,,
3,699,,0.765625,,535.906005859375,,0.5863608121871948,,0.5460155606269836,,
3,749,,0.65625,,724.2264404296875,,0.7089217305183411,,0.6543989181518555,,
3,799,,0.65625,,560.5211181640625,,0.6639614105224609,,0.6217630505561829,,
3,831,,,,,,,,,0.6936050653457642,0.6044535636901855
3,831,0.6826770901679993,,581.671142578125,,0.6381964087486267,,0.594406008720398,,,
4,849,,0.625,,515.6276245117188,,0.7344487309455872,,0.6956301331520081,,
4,899,,0.734375,,527.6104125976562,,0.5869998931884766,,0.5472791790962219,,
4,949,,0.4375,,695.5821533203125,,0.8836857080459595,,0.8313193917274475,,
4,999,,0.578125,,615.2111206054688,,0.7715531587600708,,0.7252374887466431,,
4,1039,,,,,,,,,0.6925509572029114,0.5949537754058838
4,1039,0.6746969819068909,,598.0411987304688,,0.6447672247886658,,0.5997442007064819,,,
