epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,656169.125,,149.4947052001953,,107.9018325805664,
0,99,,654764.375,,144.75074768066406,,103.2469253540039,
0,149,,650249.0,,234899554304.0,,234899554304.0,
0,199,,644109.5625,,6957791232.0,,6957791232.0,
0,246,,,,,,,104.97174835205078
0,246,650551.0625,,21317732532224.0,,21317732532224.0,,
1,249,,638571.5,,142.97854614257812,,102.50115203857422,
1,299,,635620.375,,149.73045349121094,,109.44011688232422,
1,349,,627223.4375,,3763632603136.0,,3763632603136.0,
1,399,,622317.875,,150.02293395996094,,110.57581329345703,
1,449,,614979.375,,151.1064453125,,112.1244888305664,
1,493,,,,,,,102.18566131591797
1,493,625036.1875,,10199768236032.0,,10199768236032.0,,
2,499,,607644.25,,141.55564880371094,,103.03864288330078,
2,549,,599520.75,,128.53472900390625,,90.53265380859375,
2,599,,594040.375,,1170585472.0,,1170585472.0,
2,649,,589968.75,,135.92715454101562,,98.53055572509766,
2,699,,580192.5625,,130.08644104003906,,93.30953216552734,
2,740,,,,,,,99.05477142333984
2,740,591484.4375,,2180082958336.0,,2180082958336.0,,
