epoch,step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_loss
0,49,,226570.484375,,95.58489990234375,,81.22318267822266,
0,99,,224288.5625,,130028247449600.0,,130028247449600.0,
0,149,,223498.828125,,412223444877312.0,,412223444877312.0,
0,199,,224198.984375,,36125339025408.0,,36125339025408.0,
0,246,,,,,,,61.298248291015625
0,246,224520.140625,,87299891134464.0,,87299891134464.0,,
1,249,,226011.03125,,39686617694208.0,,39686617694208.0,
1,299,,221746.859375,,101.84811401367188,,87.79215240478516,
1,349,,221926.25,,93796859641856.0,,93796859641856.0,
1,399,,224837.734375,,32555701108736.0,,32555701108736.0,
1,449,,223794.09375,,5250172846080.0,,5250172846080.0,
1,493,,,,,,,60.34370040893555
1,493,223677.859375,,107715103817728.0,,107715103817728.0,,
2,499,,220628.15625,,71.51885223388672,,57.5338020324707,
2,549,,221343.21875,,145110234824704.0,,145110234824704.0,
2,599,,223007.625,,75.31660461425781,,61.18072509765625,
2,649,,223869.421875,,72.03584289550781,,57.8453369140625,
2,699,,222339.609375,,67.52084350585938,,53.42730712890625,
2,740,,,,,,,58.63615798950195
2,740,222641.484375,,35490220736512.0,,35490220736512.0,,
3,749,,220534.90625,,91.68895721435547,,77.7098159790039,
3,799,,225199.671875,,75.54324340820312,,61.26841735839844,
3,849,,220747.625,,84.1754150390625,,70.18279266357422,
3,899,,219303.3125,,103.02220153808594,,89.12113189697266,
3,949,,222434.875,,78.56723022460938,,64.46765899658203,
3,987,,,,,,,57.277557373046875
3,987,221284.9375,,34047887671296.0,,34047887671296.0,,
4,999,,222819.5625,,60.132164001464844,,46.00820541381836,
4,1049,,220805.28125,,1218880602112.0,,1218880602112.0,
4,1099,,220982.015625,,93.66645812988281,,79.65897369384766,
4,1149,,219923.3125,,76.33642578125,,62.39605712890625,
4,1199,,220276.484375,,64.8335952758789,,50.8708381652832,
4,1234,,,,,,,55.72288513183594
4,1234,220585.578125,,21398835691520.0,,21398835691520.0,,
5,1249,,220538.578125,,68.79299926757812,,54.813629150390625,
5,1299,,218694.34375,,75.84976196289062,,61.9872932434082,
5,1349,,220401.796875,,67.87725830078125,,53.90655517578125,
5,1399,,220107.9375,,93.73527526855469,,79.783203125,
5,1449,,222306.71875,,74.72097778320312,,60.6295280456543,
5,1481,,,,,,,54.38530731201172
5,1481,219923.609375,,10335773786112.0,,10335773786112.0,,
6,1499,,222085.84375,,77.37918853759766,,63.30173873901367,
6,1549,,219981.359375,,61.64225769042969,,47.69820785522461,
6,1599,,218527.34375,,57.416107177734375,,43.5642204284668,
6,1649,,220104.125,,71.5635986328125,,57.61176681518555,
6,1699,,220251.84375,,70.09239196777344,,56.131195068359375,
6,1728,,,,,,,52.94134521484375
6,1728,219622.21875,,22949205639168.0,,22949205639168.0,,
7,1749,,217212.421875,,58.50457763671875,,44.73604202270508,
7,1799,,221890.9375,,61.62662887573242,,47.5615348815918,
7,1849,,218042.65625,,58.56742858886719,,44.74626541137695,
7,1899,,220939.765625,,78.60951232910156,,64.60470581054688,
7,1949,,217789.6875,,78.38493347167969,,64.57980346679688,
7,1975,,,,,,,51.497947692871094
7,1975,219104.671875,,13443809673216.0,,13443809673216.0,,
8,1999,,219324.9375,,12532795.0,,12532781.0,
8,2049,,221300.421875,,67.34583282470703,,53.318172454833984,
8,2099,,219505.0625,,60.34221649169922,,46.4283561706543,
8,2149,,219345.1875,,66.92813873291016,,53.0244140625,
8,2199,,219896.421875,,59.75812530517578,,45.8194580078125,
8,2222,,,,,,,50.2389030456543
8,2222,218844.171875,,3081865265152.0,,3081865265152.0,,
9,2249,,219291.0625,,93.29812622070312,,79.39783477783203,
9,2299,,217168.28125,,62.16936492919922,,48.40362548828125,
9,2349,,214940.09375,,64.35591125488281,,50.731414794921875,
9,2399,,219830.78125,,68.44894409179688,,54.51443862915039,
9,2449,,217477.5625,,64.98892211914062,,51.203582763671875,
9,2469,,,,,,,48.841670989990234
9,2469,218601.578125,,5310742265856.0,,5310742265856.0,,
